% Datos de % de casos de COVID19 reportados en Peru de
% Digitalizados aproximadamente de la Fig. 1 en
% https://cmmid.github.io/topics/covid19/global_cfr_estimates.html
% Fecha relativa a marzo    %
14.988	8.273
16.273	8.392
17.591	10.024
18.717	11.138
20.419	12.754
21.796	14.243
22.979	15.564
24.062	16.614
25.000	18.117
26.281	19.686
27.634	21.404
28.670	22.391
29.763	23.579
30.613	24.142
31.517	25.427
33.203	25.965
34.401	26.588
35.853	27.176
37.024	27.581
38.322	27.815
39.397	27.793
40.218	28.144
41.015	28.610
